jogoId,num,fase,rodada,grupo,dataHora,status,timeCasa,timeVisitante,golsCasa,golsVisitante
f33b4927-322f-4f35-8296-03ef4a744fae,,GRUPOS,Matchday 1,Group A,2026-06-11T15:00:00.000Z,ENCERRADO,Mexico,South Africa,2,0
73199b1e-5e47-4be1-a6b4-041ac171431c,,GRUPOS,Matchday 1,Group A,2026-06-11T22:00:00.000Z,ENCERRADO,South Korea,Czech Republic,2,1
705a1919-9098-4a8c-82e8-61a8493318d8,,GRUPOS,Matchday 2,Group B,2026-06-12T15:00:00.000Z,ENCERRADO,Canada,Bosnia & Herzegovina,1,1
5a9ab8b9-2ee4-4674-bcb9-5076f96769ff,,GRUPOS,Matchday 2,Group D,2026-06-12T21:00:00.000Z,ENCERRADO,USA,Paraguay,4,1
febfa8f0-1e0e-41b4-8f71-c42245503f75,,GRUPOS,Matchday 3,Group B,2026-06-13T15:00:00.000Z,ENCERRADO,Qatar,Switzerland,1,1
8d259271-eae9-4826-80e5-749e0ab42bb1,,GRUPOS,Matchday 3,Group C,2026-06-13T18:00:00.000Z,ENCERRADO,Brazil,Morocco,1,1
0cb6f4e1-c8e7-45f7-ae8c-862bd9546e01,,GRUPOS,Matchday 3,Group C,2026-06-13T21:00:00.000Z,ENCERRADO,Haiti,Scotland,0,1
d2bb4311-cc33-4a5e-b210-36d4d6b8c95f,,GRUPOS,Matchday 3,Group D,2026-06-14T00:00:00.000Z,ENCERRADO,Australia,Turkey,2,0
c32f61ed-5dd5-4aba-a527-1742a1dc4c9d,,GRUPOS,Matchday 4,Group E,2026-06-14T13:00:00.000Z,ENCERRADO,Germany,Curaçao,7,1
01e47d95-5c68-4036-9f59-c2e6f0a0e13f,,GRUPOS,Matchday 4,Group F,2026-06-14T16:00:00.000Z,ENCERRADO,Netherlands,Japan,2,2
3cb95c71-80f9-4c41-97a3-0decd8f5c970,,GRUPOS,Matchday 4,Group E,2026-06-14T19:00:00.000Z,ENCERRADO,Ivory Coast,Ecuador,1,0
3190da5f-a588-4a3e-9611-cd992539fe8a,,GRUPOS,Matchday 4,Group F,2026-06-14T22:00:00.000Z,ENCERRADO,Sweden,Tunisia,5,1
5fdec0ae-0db7-4b71-863a-ae54c8c386a6,,GRUPOS,Matchday 5,Group H,2026-06-15T12:00:00.000Z,ENCERRADO,Spain,Cape Verde,0,0
1d1d118e-8fce-4b32-adff-af0df1bf1306,,GRUPOS,Matchday 5,Group G,2026-06-15T15:00:00.000Z,ENCERRADO,Belgium,Egypt,1,1
d59a58f0-503e-4b39-afe6-3b765165d737,,GRUPOS,Matchday 5,Group H,2026-06-15T18:00:00.000Z,ENCERRADO,Saudi Arabia,Uruguay,1,1
29dcf119-8ac3-42f4-b171-8bd35c1e77f7,,GRUPOS,Matchday 5,Group G,2026-06-15T21:00:00.000Z,ENCERRADO,Iran,New Zealand,2,2
5a305830-be9c-46d2-9810-fa7282c36942,,GRUPOS,Matchday 6,Group I,2026-06-16T15:00:00.000Z,ENCERRADO,France,Senegal,3,1
1d56ac05-0fdf-4476-94bf-a8b2254ecdf5,,GRUPOS,Matchday 6,Group I,2026-06-16T18:00:00.000Z,ENCERRADO,Iraq,Norway,1,4
ddfc2048-daf9-49cb-9696-05b30def1f27,,GRUPOS,Matchday 6,Group J,2026-06-16T21:00:00.000Z,ENCERRADO,Argentina,Algeria,3,0
b4ffb117-3d07-4b91-a534-fd3cd301d562,,GRUPOS,Matchday 6,Group J,2026-06-17T00:00:00.000Z,ENCERRADO,Austria,Jordan,3,1
4cc59670-bc10-44eb-980e-e6fa1b392d39,,GRUPOS,Matchday 7,Group K,2026-06-17T13:00:00.000Z,ENCERRADO,Portugal,DR Congo,1,1
2cc8c024-882c-49d3-b42b-0b34d51e4c31,,GRUPOS,Matchday 7,Group L,2026-06-17T16:00:00.000Z,ENCERRADO,England,Croatia,4,2
ff24403a-019f-43e2-88b1-40157d97890a,,GRUPOS,Matchday 7,Group L,2026-06-17T19:00:00.000Z,ENCERRADO,Ghana,Panama,1,0
0171de6d-3aef-41c9-91bb-50e967bc9383,,GRUPOS,Matchday 7,Group K,2026-06-17T22:00:00.000Z,ENCERRADO,Uzbekistan,Colombia,1,3
d31fa12d-65f6-416b-b7dc-210c0aeff4bf,,GRUPOS,Matchday 8,Group A,2026-06-18T12:00:00.000Z,ENCERRADO,Czech Republic,South Africa,1,1
e00087f2-d8fb-4a87-b368-e30a37ec8e44,,GRUPOS,Matchday 8,Group B,2026-06-18T15:00:00.000Z,ENCERRADO,Switzerland,Bosnia & Herzegovina,4,1
f243892f-ff42-414e-85d3-fdb50c697b05,,GRUPOS,Matchday 8,Group B,2026-06-18T18:00:00.000Z,ENCERRADO,Canada,Qatar,6,0
bfc8b7bc-2dcc-42ce-9123-6d1fd3c45a9d,,GRUPOS,Matchday 8,Group A,2026-06-18T21:00:00.000Z,ENCERRADO,Mexico,South Korea,1,0
49c174b7-c464-4916-be8e-c9adf5489d61,,GRUPOS,Matchday 9,Group D,2026-06-19T15:00:00.000Z,ENCERRADO,USA,Australia,2,0
a48358d6-b4c7-4f09-a00a-cb630819f8ef,,GRUPOS,Matchday 9,Group C,2026-06-19T18:00:00.000Z,ENCERRADO,Scotland,Morocco,0,1
6e8dfaca-52e0-489c-8f8d-bad25889f8aa,,GRUPOS,Matchday 9,Group C,2026-06-19T20:30:00.000Z,ENCERRADO,Brazil,Haiti,3,0
9a7c71dd-6726-4631-8f78-e5deb9fef73c,,GRUPOS,Matchday 9,Group D,2026-06-19T23:00:00.000Z,ENCERRADO,Turkey,Paraguay,0,1
1a3c502f-3218-4da5-bba5-6fe2da01734d,,GRUPOS,Matchday 10,Group F,2026-06-20T13:00:00.000Z,ENCERRADO,Netherlands,Sweden,5,1
472a5e85-7239-4f32-ab73-fd7e96b99666,,GRUPOS,Matchday 10,Group E,2026-06-20T16:00:00.000Z,ENCERRADO,Germany,Ivory Coast,2,1
a8f50583-b1af-425d-836c-64944df6c668,,GRUPOS,Matchday 10,Group E,2026-06-20T20:00:00.000Z,ENCERRADO,Ecuador,Curaçao,0,0
94ee8b2b-59f5-4cb6-9039-a8ddbfb45a43,,GRUPOS,Matchday 10,Group F,2026-06-21T00:00:00.000Z,ENCERRADO,Tunisia,Japan,0,4
