usuarioId,criadoEm
user1,2026-06-10T00:19:42.630Z
user2,2026-06-12T01:54:38.303Z
user3,2026-06-12T01:54:46.335Z
user4,2026-06-12T01:55:00.278Z
user5,2026-06-12T01:55:57.897Z
user6,2026-06-12T02:00:13.973Z
user7,2026-06-12T02:14:22.497Z
user8,2026-06-12T02:20:35.211Z
user9,2026-06-12T02:21:05.896Z
user10,2026-06-12T02:26:03.323Z
user11,2026-06-12T02:39:52.872Z
user12,2026-06-12T02:52:29.617Z
user13,2026-06-12T06:42:20.771Z
user14,2026-06-12T10:30:54.884Z
user15,2026-06-12T13:34:37.841Z
user16,2026-06-12T14:26:09.960Z
user17,2026-06-12T16:19:00.861Z
user18,2026-06-12T17:28:32.234Z
user19,2026-06-12T20:29:50.627Z
user20,2026-06-13T03:25:42.282Z
user21,2026-06-13T16:52:02.476Z
user22,2026-06-13T17:43:21.509Z
user23,2026-06-13T17:43:31.563Z
user24,2026-06-13T17:43:32.160Z
user25,2026-06-13T17:43:32.699Z
user26,2026-06-13T17:43:51.260Z
user27,2026-06-13T17:44:28.318Z
user28,2026-06-13T17:44:54.449Z
user29,2026-06-13T17:45:04.499Z
user30,2026-06-13T17:45:51.298Z
user31,2026-06-13T17:46:29.459Z
user32,2026-06-13T17:46:33.107Z
user33,2026-06-13T17:47:05.436Z
user34,2026-06-13T17:47:30.589Z
user35,2026-06-13T17:49:37.034Z
user36,2026-06-13T17:53:46.646Z
user37,2026-06-13T17:54:23.533Z
user38,2026-06-13T17:54:55.585Z
user39,2026-06-13T17:55:32.205Z
user40,2026-06-13T17:56:23.576Z
user41,2026-06-13T17:58:13.556Z
user42,2026-06-13T18:00:52.523Z
user43,2026-06-13T18:00:56.113Z
user44,2026-06-13T18:00:57.010Z
user45,2026-06-13T18:01:08.386Z
user46,2026-06-13T18:01:52.994Z
user47,2026-06-13T18:02:53.226Z
user48,2026-06-13T18:03:10.407Z
user49,2026-06-13T18:04:09.517Z
user50,2026-06-13T18:14:02.033Z
user51,2026-06-13T18:20:42.321Z
user52,2026-06-13T18:23:55.984Z
user53,2026-06-13T18:27:42.950Z
user54,2026-06-13T18:29:10.332Z
user55,2026-06-13T18:29:26.691Z
user56,2026-06-13T18:32:42.054Z
user57,2026-06-13T18:33:12.579Z
user58,2026-06-13T18:39:18.244Z
user59,2026-06-13T18:39:57.714Z
user60,2026-06-13T19:05:12.926Z
user61,2026-06-13T19:15:13.281Z
user62,2026-06-13T19:15:48.251Z
user63,2026-06-13T19:17:56.798Z
user64,2026-06-13T19:42:45.706Z
user65,2026-06-13T19:43:36.146Z
user66,2026-06-13T20:07:56.502Z
user67,2026-06-13T20:10:49.155Z
user68,2026-06-13T20:11:00.096Z
user69,2026-06-13T20:35:36.955Z
user70,2026-06-13T20:47:06.402Z
user71,2026-06-13T20:48:16.518Z
user72,2026-06-13T21:06:53.973Z
user73,2026-06-13T21:28:07.052Z
user74,2026-06-13T21:30:20.147Z
user75,2026-06-13T21:34:01.764Z
user76,2026-06-13T21:45:27.384Z
user77,2026-06-13T22:28:43.341Z
user78,2026-06-13T22:43:18.464Z
user79,2026-06-14T00:31:02.992Z
user80,2026-06-14T01:14:50.508Z
user81,2026-06-14T01:22:46.666Z
user82,2026-06-14T01:35:40.842Z
user83,2026-06-14T02:27:45.579Z
user84,2026-06-14T02:46:08.943Z
user85,2026-06-14T08:28:18.406Z
user86,2026-06-14T13:55:52.426Z
user87,2026-06-14T14:33:17.581Z
user88,2026-06-14T15:13:20.847Z
user89,2026-06-14T19:48:58.673Z
user90,2026-06-14T20:07:16.339Z
user91,2026-06-14T20:08:48.163Z
user92,2026-06-14T21:04:50.875Z
user93,2026-06-14T22:26:51.493Z
user94,2026-06-14T23:22:36.520Z
user95,2026-06-14T23:56:52.538Z
user96,2026-06-15T00:44:29.923Z
user97,2026-06-15T03:51:49.885Z
user98,2026-06-15T12:10:47.112Z
user99,2026-06-15T12:14:12.608Z
user100,2026-06-15T12:32:58.089Z
user101,2026-06-15T13:52:33.039Z
user102,2026-06-15T13:55:38.163Z
user103,2026-06-15T15:01:08.587Z
user104,2026-06-15T15:36:20.908Z
user105,2026-06-15T15:54:46.564Z
user106,2026-06-15T20:56:08.896Z
user107,2026-06-16T00:15:43.968Z
user108,2026-06-16T04:20:03.479Z
user109,2026-06-16T04:39:24.048Z
user110,2026-06-16T12:28:53.285Z
user111,2026-06-16T14:06:56.108Z
user112,2026-06-16T17:57:37.664Z
user113,2026-06-16T18:48:12.467Z
user114,2026-06-16T19:20:12.486Z
user115,2026-06-16T19:22:23.848Z
user116,2026-06-16T21:31:10.440Z
user117,2026-06-16T21:55:41.993Z
user118,2026-06-16T22:00:17.065Z
